scene_id,planner,success_rate,success_ci95,failure_rate,planning_time_mean,planning_time_std,planning_time_p50,planning_time_p90,path_length_joint_mean,path_length_joint_p50,path_length_joint_p90,path_length_task_mean,path_length_task_p50,path_length_task_p90,smoothness_mean,smoothness_p50,smoothness_p90,min_obstacle_distance_mean,min_obstacle_distance_p10,min_obstacle_distance_p50,min_ground_clearance_mean,min_ground_clearance_p10,collision_checks_mean,collision_checks_p90,final_error_mean,final_error_p90,final_orientation_error_mean,final_orientation_error_p90,num_waypoints_mean,message,failure_category_cn,safety_margin_mean,composite_score,composite_rank
scene_00_no_obstacle,rrt_connect,1.0,0.0,0.0,0.003446767739733282,0.0016143119461349339,0.0028116815010434497,0.00450578180098084,3.511997631714629,3.511997631714629,3.511997631714629,0.8151784334708557,0.8151784334708557,0.8151784334708557,4.22252395657677e-14,4.22252395657677e-14,4.22252395657677e-14,,,,0.0029999999999999,0.0029999999999999,91.4,92.0,1.1721505415132565e-12,1.1721505415132565e-12,0.0,0.0,80.0,success,成功,,1.0,1.0
scene_00_no_obstacle,apf,1.0,0.0,0.0,0.0056448985799942815,0.0005672526772311298,0.005488157499712499,0.00590989039956183,3.511997631714629,3.511997631714629,3.511997631714629,0.8151784334708557,0.8151784334708557,0.8151784334708557,4.22252395657677e-14,4.22252395657677e-14,4.22252395657677e-14,,,,0.0029999999999999,0.0029999999999999,155.0,155.0,1.1721505415132565e-12,1.1721505415132565e-12,0.0,0.0,80.0,success,成功,,0.9997954770816847,2.0
scene_00_no_obstacle,rrt,1.0,0.0,0.0,0.00577661858013011,0.0016129325201107594,0.0053942830018058,0.00789183059714554,3.511997631714629,3.511997631714629,3.511997631714629,0.8151784334708557,0.8151784334708557,0.8151784334708557,4.22252395657677e-14,4.22252395657677e-14,4.22252395657677e-14,,,,0.0029999999999999,0.0029999999999999,159.24,180.0,1.1721505415132565e-12,1.1721505415132565e-12,0.0,0.0,80.0,success,成功,,0.9997826513431187,3.0
scene_00_no_obstacle,prm,1.0,0.0,0.0,3.0565594591599075,0.13044512110952625,3.0496944170008646,3.1946568961997404,3.511997631714629,3.511997631714629,3.511997631714629,0.8151784334708557,0.8151784334708557,0.8151784334708557,4.22252395657677e-14,4.22252395657677e-14,4.22252395657677e-14,,,,0.0029999999999999,0.0029999999999999,125492.24,130648.5,1.1721505415132565e-12,1.1721505415132565e-12,0.0,0.0,80.0,success,成功,,0.6666666666666666,4.0
scene_01_single_box,rrt_connect,1.0,0.0,0.0,0.003592885359976156,0.0007226475231908344,0.003410919000089,0.00363650980070814,3.3963172385703886,3.396317238570389,3.396317238570389,0.7042176292928835,0.7042176292928835,0.7042176292928835,4.24626439846264e-14,4.2462643984626395e-14,4.2462643984626395e-14,0.0292743250774508,0.0292743250774508,0.0292743250774508,0.0029999999999999,0.0029999999999999,88.0,92.0,2.273875602096571e-11,2.273875602096571e-11,0.0,0.0,80.0,success,成功,0.0292743250774508,0.8571428571428571,1.0
scene_01_single_box,rrt,1.0,0.0,0.0,0.006691536039943404,0.002013377286873,0.006513066999104851,0.00827482380009312,3.3963172385703886,3.396317238570389,3.396317238570389,0.7042176292928835,0.7042176292928835,0.7042176292928835,4.24626439846264e-14,4.2462643984626395e-14,4.2462643984626395e-14,0.0292743250774508,0.0292743250774508,0.0292743250774508,0.0029999999999999,0.0029999999999999,155.62,190.1,2.273875602096571e-11,2.273875602096571e-11,0.0,0.0,80.0,success,成功,0.0292743250774508,0.8569346872129255,2.0
scene_01_single_box,prm,1.0,0.0,0.0,3.64521905008005,0.22634337001485907,3.578165134998926,3.974787024802572,3.3963172385703886,3.396317238570389,3.396317238570389,0.7042176292928835,0.7042176292928835,0.7042176292928835,4.24626439846264e-14,4.2462643984626395e-14,4.2462643984626395e-14,0.0292743250774508,0.0292743250774508,0.0292743250774508,0.0029999999999999,0.0029999999999999,111618.42,115992.2,2.273875602096571e-11,2.273875602096571e-11,0.0,0.0,80.0,success,成功,0.0292743250774508,0.5714285714285714,3.0
scene_01_single_box,apf,0.0,0.0,1.0,0.5322783673399681,0.024691329159482855,0.5245027530017978,0.5560762835990317,72.00000000000209,72.00000000000209,72.00000000000209,44.24049656598966,44.24049656598966,44.24049656598966,137.11506252071655,137.11506252071655,137.11506252071655,0.17600022410419272,0.1760002241041927,0.1760002241041927,0.0029999999999999,0.0029999999999999,3202.0,3202.0,0.2650310858036495,0.2650310858036495,0.0,0.0,1601.0,max iterations reached,迭代上限,0.17600022410419272,0.40384299432728993,4.0
scene_02_multi_obstacles,rrt_connect,1.0,0.0,0.0,0.0047223888599546085,0.0014132885276906422,0.00444327500008505,0.00475421469891438,2.8694741725362305,2.86947417253623,2.86947417253623,1.2443773430847331,1.2443773430847331,1.2443773430847331,4.759579893054559e-14,4.759579893054559e-14,4.759579893054559e-14,0.018750063081244,0.018750063081244,0.018750063081244,0.0029999999999999,0.0029999999999999,77.2,82.0,1.2621047352659301e-12,1.2621047352659301e-12,0.0,0.0,80.0,success,成功,0.018750063081244,0.8571428571428571,1.0
scene_02_multi_obstacles,rrt,1.0,0.0,0.0,0.023927092379963093,0.11080920078954883,0.00771005100068575,0.01033775850228265,2.8694741725362305,2.86947417253623,2.86947417253623,1.2443773430847331,1.2443773430847331,1.2443773430847331,4.759579893054559e-14,4.759579893054559e-14,4.759579893054559e-14,0.018750063081244,0.018750063081244,0.018750063081244,0.0029999999999999,0.0029999999999999,228.78,176.3,1.2621047352659301e-12,1.2621047352659301e-12,0.0,0.0,80.0,success,成功,0.018750063081244,0.8564070829464272,2.0
scene_02_multi_obstacles,prm,1.0,0.0,0.0,5.168595285219999,0.21345102686594156,5.170283736999409,5.397688200201446,2.8694741725362305,2.86947417253623,2.86947417253623,1.2443773430847331,1.2443773430847331,1.2443773430847331,4.759579893054559e-14,4.759579893054559e-14,4.759579893054559e-14,0.018750063081244,0.018750063081244,0.018750063081244,0.0029999999999999,0.0029999999999999,105975.82,110676.8,1.2621047352659301e-12,1.2621047352659301e-12,0.0,0.0,80.0,success,成功,0.018750063081244,0.5714285714285714,3.0
scene_02_multi_obstacles,apf,0.0,0.0,1.0,0.9960662919197056,0.05289575602523435,0.9843814240011852,1.0012839829018048,72.00000000000188,72.00000000000188,72.00000000000188,49.800621945064776,49.800621945064776,49.800621945064776,139.90556641381266,139.90556641381266,139.90556641381266,0.1275938466910414,0.1275938466910414,0.1275938466910414,0.0029999999999999,0.0029999999999999,3202.0,3202.0,0.4229129714448529,0.4229129714448529,0.0,0.0,1601.0,max iterations reached,迭代上限,0.1275938466910414,0.3969308160370148,4.0
