trial_id,global_seed,scene_id,scene_seed,planner,trial_seed,success,planning_time,path_length_joint,path_length_task,smoothness,min_obstacle_distance,min_ground_clearance,collision_checks,num_waypoints,final_error,final_orientation_error,q_start,q_goal,target_position,target_quat_wxyz,message,failure_category,failure_category_cn
0,42,scene_00_no_obstacle,20260525,rrt,42,True,0.0049697489994287025,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,149,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
1,42,scene_00_no_obstacle,20260525,rrt,43,True,0.004902071003016317,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,150,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
2,42,scene_00_no_obstacle,20260525,rrt,44,True,0.011386083999241237,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,141,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
3,42,scene_00_no_obstacle,20260525,rrt,45,True,0.004442187000677222,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,135,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
4,42,scene_00_no_obstacle,20260525,rrt,46,True,0.005787454996607266,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,174,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
5,42,scene_00_no_obstacle,20260525,rrt,47,True,0.008571544000005815,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,177,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
6,42,scene_00_no_obstacle,20260525,rrt,48,True,0.005035797999880742,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,155,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
7,42,scene_00_no_obstacle,20260525,rrt,49,True,0.0063199260002875235,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,184,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
8,42,scene_00_no_obstacle,20260525,rrt,50,True,0.005425792001915397,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,159,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
9,42,scene_00_no_obstacle,20260525,rrt,51,True,0.003646084998763399,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,109,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
10,42,scene_00_no_obstacle,20260525,rrt,52,True,0.00524177900297218,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,154,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
11,42,scene_00_no_obstacle,20260525,rrt,53,True,0.005086860001028981,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,140,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
12,42,scene_00_no_obstacle,20260525,rrt,54,True,0.004548684999463148,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,145,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
