trial_id,global_seed,scene_id,scene_seed,algorithm_type,algorithm,trial_seed,q_start,q_goal,target_position,target_quat_wxyz,success
0,42,scene_00_no_obstacle,20260525,ik,pinv,42,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9864833,-1.3834736,1.4956263,-1.623812,-1.9761294,-0.02604359]","[0.55,0.18,0.44]",,True
1,42,scene_00_no_obstacle,20260525,ik,pinv,43,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9875485,-1.3859287,1.5011443,-1.6406981,-1.9692096,0.01943246]","[0.55,0.18,0.44]",,True
2,42,scene_00_no_obstacle,20260525,ik,pinv,44,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9922719,-1.3891476,1.4976154,-1.6125633,-1.9351939,0.01157913]","[0.55,0.18,0.44]",,True
3,42,scene_00_no_obstacle,20260525,ik,pinv,45,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9931724,-1.3840523,1.4927443,-1.6222682,-1.9366336,0.0052496756]","[0.55,0.18,0.44]",,True
4,42,scene_00_no_obstacle,20260525,ik,pinv,46,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9909892,-1.3809128,1.4888607,-1.6153667,-1.9506499,-0.028589338]","[0.55,0.18,0.44]",,True
5,42,scene_00_no_obstacle,20260525,ik,pinv,47,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9910887,-1.3867444,1.5026577,-1.6534632,-1.9505257,-0.016011774]","[0.55,0.18,0.44]",,True
6,42,scene_00_no_obstacle,20260525,ik,pinv,48,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9941211,-1.3820036,1.4871002,-1.6063944,-1.9299072,-0.020372254]","[0.55,0.18,0.44]",,True
7,42,scene_00_no_obstacle,20260525,ik,pinv,49,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9929637,-1.392175,1.508628,-1.653182,-1.933246,0.002180817]","[0.55,0.18,0.44]",,True
8,42,scene_00_no_obstacle,20260525,ik,pinv,50,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9969851,-1.3958474,1.5124472,-1.6601152,-1.908887,-0.0038186303]","[0.55,0.18,0.44]",,True
9,42,scene_00_no_obstacle,20260525,ik,pinv,51,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9928174,-1.3823051,1.4895417,-1.6154453,-1.9394035,-0.022032875]","[0.55,0.18,0.44]",,True
