trial_id,global_seed,scene_id,scene_seed,planner,trial_seed,success,max_joint_step,mean_joint_step,max_joint_speed_norm,mean_joint_speed_norm,max_joint_acc_norm,mean_joint_acc_norm,max_joint_jerk_norm,mean_joint_jerk_norm,path_length_task,smoothness,min_obstacle_distance,min_ground_clearance,safety_margin,final_error,final_orientation_error
0,42,scene_00_no_obstacle,20260525,rrt,42,True,0.04445566622423637,0.04445566622423583,0.04445566622423637,0.04445566622423583,1.0706603116298291e-15,5.426455178931241e-16,2.1413206232596582e-15,1.01042860997401e-15,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,inf,1.1721505415132563e-12,0.0
1,42,scene_00_no_obstacle,20260525,rrt,43,True,0.04445566622423637,0.04445566622423583,0.04445566622423637,0.04445566622423583,1.0706603116298291e-15,5.426455178931241e-16,2.1413206232596582e-15,1.01042860997401e-15,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,inf,1.1721505415132563e-12,0.0
2,42,scene_00_no_obstacle,20260525,rrt,44,True,0.04445566622423637,0.04445566622423583,0.04445566622423637,0.04445566622423583,1.0706603116298291e-15,5.426455178931241e-16,2.1413206232596582e-15,1.01042860997401e-15,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,inf,1.1721505415132563e-12,0.0
3,42,scene_00_no_obstacle,20260525,rrt,45,True,0.04445566622423637,0.04445566622423583,0.04445566622423637,0.04445566622423583,1.0706603116298291e-15,5.426455178931241e-16,2.1413206232596582e-15,1.01042860997401e-15,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,inf,1.1721505415132563e-12,0.0
4,42,scene_00_no_obstacle,20260525,rrt,46,True,0.04445566622423637,0.04445566622423583,0.04445566622423637,0.04445566622423583,1.0706603116298291e-15,5.426455178931241e-16,2.1413206232596582e-15,1.01042860997401e-15,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,inf,1.1721505415132563e-12,0.0
5,42,scene_00_no_obstacle,20260525,rrt,47,True,0.04445566622423637,0.04445566622423583,0.04445566622423637,0.04445566622423583,1.0706603116298291e-15,5.426455178931241e-16,2.1413206232596582e-15,1.01042860997401e-15,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,inf,1.1721505415132563e-12,0.0
6,42,scene_00_no_obstacle,20260525,rrt,48,True,0.04445566622423637,0.04445566622423583,0.04445566622423637,0.04445566622423583,1.0706603116298291e-15,5.426455178931241e-16,2.1413206232596582e-15,1.01042860997401e-15,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,inf,1.1721505415132563e-12,0.0
7,42,scene_00_no_obstacle,20260525,rrt,49,True,0.04445566622423637,0.04445566622423583,0.04445566622423637,0.04445566622423583,1.0706603116298291e-15,5.426455178931241e-16,2.1413206232596582e-15,1.01042860997401e-15,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,inf,1.1721505415132563e-12,0.0
8,42,scene_00_no_obstacle,20260525,rrt,50,True,0.04445566622423637,0.04445566622423583,0.04445566622423637,0.04445566622423583,1.0706603116298291e-15,5.426455178931241e-16,2.1413206232596582e-15,1.01042860997401e-15,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,inf,1.1721505415132563e-12,0.0
9,42,scene_00_no_obstacle,20260525,rrt,51,True,0.04445566622423637,0.04445566622423583,0.04445566622423637,0.04445566622423583,1.0706603116298291e-15,5.426455178931241e-16,2.1413206232596582e-15,1.01042860997401e-15,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,inf,1.1721505415132563e-12,0.0
